GP_Index	Coord_X	Coord_Y	Eps_xx	Eps_yy	Eps_zz	Eps_yz	Eps_xz	Eps_xy	Sig_xx	Sig_yy	Sig_zz	Sig_yz	Sig_xz	Sig_xy
77	1.458251e+01	2.323750e+01	2.333750e-01	-1.857822e-01	-1.229991e-02	-6.756147e-03	-2.848839e-03	-2.430701e-03	3.206837e+03	-1.464210e+02	4.622264e+01	-2.222210e+01	-6.592863e+00	-1.269333e+03
78	1.458251e+01	2.306875e+01	2.316875e-01	-1.857822e-01	-1.229991e-02	-6.756147e-03	-2.848839e-03	-2.430701e-03	3.146599e+03	-1.931590e+02	4.073650e+01	-2.222210e+01	-6.592863e+00	-1.226524e+03
79	1.429086e+01	2.329375e+01	2.339375e-01	-2.126752e-01	-1.219779e-02	1.234867e-02	-2.039515e-03	-2.707367e-03	2.489421e+03	-1.083481e+03	-3.833382e+01	4.424011e+01	-1.331264e+01	-6.091481e+02
80	1.416586e+01	2.312500e+01	2.322500e-01	-2.126752e-01	-1.219779e-02	1.234867e-02	-2.039515e-03	-2.707367e-03	2.429183e+03	-1.130219e+03	-4.381996e+01	4.424011e+01	-1.331264e+01	-5.663386e+02
81	1.416586e+01	2.329375e+01	2.339375e-01	-2.126752e-01	-1.219779e-02	1.234867e-02	-2.039515e-03	-2.707367e-03	2.489421e+03	-1.083481e+03	-3.833382e+01	4.424011e+01	-1.331264e+01	-6.091481e+02
82	1.420753e+01	2.306875e+01	2.316875e-01	-1.859225e-01	-1.223986e-02	-7.410267e-03	-2.414476e-03	-2.201141e-03	3.137085e+03	-2.037947e+02	4.070411e+01	-2.472870e+01	-4.745532e+00	-1.216576e+03
83	1.433252e+01	2.323750e+01	2.333750e-01	-1.859225e-01	-1.223986e-02	-7.410267e-03	-2.414476e-03	-2.201141e-03	3.197323e+03	-1.570567e+02	4.619025e+01	-2.472870e+01	-4.745532e+00	-1.259386e+03
84	1.433252e+01	2.306875e+01	2.316875e-01	-1.859225e-01	-1.223986e-02	-7.410267e-03	-2.414476e-03	-2.201141e-03	3.137085e+03	-2.037947e+02	4.070411e+01	-2.472870e+01	-4.745532e+00	-1.216576e+03
85	1.404087e+01	2.329375e+01	2.339375e-01	-2.128333e-01	-1.216784e-02	1.190452e-02	-1.717718e-03	-2.413346e-03	2.477680e+03	-1.096487e+03	-3.872396e+01	4.252467e+01	-1.196427e+01	-5.969314e+02
86	1.391588e+01	2.312500e+01	2.322500e-01	-2.128333e-01	-1.216784e-02	1.190452e-02	-1.717718e-03	-2.413346e-03	2.417442e+03	-1.143225e+03	-4.421010e+01	4.252467e+01	-1.196427e+01	-5.541218e+02
87	1.391588e+01	2.329375e+01	2.339375e-01	-2.128333e-01	-1.216784e-02	1.190452e-02	-1.717718e-03	-2.413346e-03	2.477680e+03	-1.096487e+03	-3.872396e+01	4.252467e+01	-1.196427e+01	-5.969314e+02
88	1.395754e+01	2.306875e+01	2.316875e-01	-1.860213e-01	-1.219779e-02	-7.914711e-03	-2.039515e-03	-1.978897e-03	3.128847e+03	-2.128229e+02	4.064980e+01	-2.668173e+01	-3.180946e+00	-1.207876e+03
89	1.408253e+01	2.323750e+01	2.333750e-01	-1.860213e-01	-1.219779e-02	-7.914711e-03	-2.039515e-03	-1.978897e-03	3.189085e+03	-1.660849e+02	4.613594e+01	-2.668173e+01	-3.180946e+00	-1.250686e+03
